"name","description","url"
"Exploring the Vilnius Ghetto","reVilna is a digital mapping project dedicated to understanding how the residents of the Ghetto lived, how the ghetto functioned &#8212; even, given the circumstances, flourished &#8212; how it emerged, and how, ultimately, it was liquidated. Using geographical science and technology, reVilna seeks to reimagine the Vilna Ghetto.","http://www.revilna.org/"
"Falmouth Project","Architecture and history of the town of Falmouth, Jamaica.","http://falmouth.lib.virginia.edu/"
"French Book Trade in Enlightenment Europe","Excellent site mapping the trade of the Société Typographique de Neuchâtel (STN), a celebrated Swiss publishing house that operated between 1769 and 1794.&#8221","http://fbtee.uws.edu.au/main/"
"Gazetteer of Sixteenth Century Florence","A database of some 750 items, plotted on the 1584 Buonsignori Map of Florence.","http://cds.library.brown.edu/projects/florentine_gazetteer/"
"GeoBib","Geo-referencing early (pre-1949) holocaust and concentration camp literature. In German.","http://geobib.info/index.php"
"Geodia","Visualizing the temporal, geographic, and material aspects of ancient Mediterranean civilizations.","http://geodia.laits.utexas.edu/"
"German Traces NYC","The German presence in New York City. Available in three different flavours: for mobile phones, as web page and augmented reality application.","http://www.germantracesnyc.org/"
"Geschichtomat","Mapping the Jewish history of Hamburg. In German; a useful resume in English can be found at","http://www.geschichtomat.de/"
"Going to the Show","Mapping movie-going in North Carolina.","http://docsouth.unc.edu/gtts/"
"Google Ancient Places","Mining Google Books for Geographic data relating to Antiquity.","http://googleancientplaces.wordpress.com/"
"Grub Street Project","Very interesting mapping of early modern London's literature and publishing using contemporary maps.","http://grubstreetproject.net/"
"Hestia","Mapping the ancient Mediterranean via Herodotus.","http://www.open.ac.uk/Arts/hestia/"
"Hidden Florence","Smartphone app guiding users around early Modern Florence, with some of the material downloadable from teh website.","http://hiddenflorence.org/"
"HGIS Germany","Various maps and data relating to Germany","http://www.hgis-germany.de/"
"Hidden Patterns of the Civil War","A set of interrelated projects on the American Civil War, of which 5 are maps.","http://dsl.richmond.edu/civilwar/"
"HISGIS","Dutch National GIS under development (and in Dutch).","http://www.hisgis.nl/hisgis/gewesten/utrecht/atlas_utrecht-1/welkom-op-de-hisgis-site"
"Historical Geography of facilities for people with intellectual disabilities in Australia","","http://members.ozemail.com.au/~d.earl/maps/index.html"
"Historical Town Atlas of the Czech Republic","In English and Czech, maps and terrain of the Czech Republic.","http://towns.hiu.cas.cz/intro.htm"
"Holocaust Geographies","Under development; a blurb can be found at","http://www.stanford.edu/group/spatialhistory/cgi-bin/site/project.php?id=1015"
"Hypercities","A digital research and educational platform for exploring, learning about, and interacting with the layered histories of city and global spaces.","http://hypercities.com"
"Ieldran","Mapping early Anglo-Saxon cemetaries in England.","http://ieldran.matrix.msu.edu"
"Irish Speakers and the Empire City","Interesting crowd-sourcing project to locate Irish speakers in New York, circa 1910.","http://www.nyuirish.net/irishlanguagehistory/"
"Japan Historic Agriculture Browsing System","In Japanese, so I'm relying on Google Translate. Historic maps from the early Meiji period, mid to late nineteenth century, geo-corrected.","http://habs.dc.affrc.go.jp/index.html"
"JoyceWays","Forthcoming from Boston College (USA), an iPhone app mapping James Joyce's work onto Dublin.","http://joyceways.com/"
"Kansas City Literary Map","Marking literary landmarks across Kansas, Texas, USA.","http://www.jocolibrary.org/default.aspx?id=3757"
"Know Your Place","From Bristol Council, a project to map that city's history, using current and historical maps, and allowing the public to add items.","http://www.bristol.gov.uk/page/planning-and-building-regulations/know-your-place"
"Linguistic Atlas Projects","Studying English dialects in the USA.","http://www.lap.uga.edu/"
"Linguistic geographies: the Gough Map of Great Britain and its Making","Investigating the Gough Map of circa 1360.","http://www.goughmap.org/"
"Literary Atlas of Europe","Revitalised! Very interesting investigations into European literature.","http://www.literaturatlas.eu/en/"
"Locating London's Past","London Lives. Blog:","http://www.locatinglondon.org"
"London Gallery Project","Local/Global: Mapping Nineteenth-Century London's Art Market","http://learn.bowdoin.edu/fletcher/london-gallery/ "
"Lviv Interactive Map","Lviv, in the Ukraine, mapped in various historical dimensions.","http://lvivcenter.org/en/lia/map/"
"Map of Early Modern London","Based on Agas' map from circa 1560.","http://mapoflondon.uvic.ca/gazetteer.htm"
"Mapping A Writer's World","The geographic chronology of Willa Cather.","http://cather.unl.edu/geochron/"
"Mapping Books","Various experiments in mapping books.","http://mappingbooks.blogspot.co.uk/"
"Mapping Decadence","Mapping the networks of the late nineteenth century Parisian decadents.","http://mappingdecadence.com/"
"Mapping Decline","Fascinating investigation into urban decline in St Louis.","http://mappingdecline.lib.uiowa.edu/map/"
"Mapping Detroit Slavery","Aims to provide a more complete picture of slavery in the Detroit area for the general public, students, and scholars.","http://mappingdetroitslavery.com/"
"Mapping Dubliners","Mapping James Joyce's stories.","http://mulliken.okstate.edu/about/"
"Mapping Du Bois","Recreating Du Bois' survey of Philadelphia's Seventh Ward","http://www.mappingdubois.org/"
"Mapping Gothic France","12th and 13th century French architecture considered in 3 ways: time, space and narrative.","http://mappinggothicfrance.org/"
"Mapping History","Time-based maps covering 4 continents, in English and German.","http://mappinghistory.uoregon.edu/english/index.html"
"Mapping Medieval Chester","Completed project exploring space, place and identity in Medieval Chester.","http://www.medievalchester.ac.uk/index.html"
"Mapping Memoirs of Montparnasse","Small project on Modernist Paris, based on John Glassco's memoirs, by Dr","http://aelang.net/projects/glassco.htm"
"Mapping Mythology","Interesting idea: to map classical mythology in Post-Antique art. Initially covering New York.","http://www.mappingmythology.com/"
"Mapping Our Anzacs","Mapping Australia's first world war recruits.","http://mappingouranzacs.naa.gov.au/default.aspx"
"Mapping Performance Culture: Nottingham 1857-1867","Mid-Victorian entertainments in the Midlands:","http://www.nottingham.ac.uk/mapmoment/"
"Mapping Petersburg","A project to map the Petersburg Text, starting with Dostoevsky's .","http://www.mappingpetersburg.org/"
"Mapping Population Change in Ireland 1841-1851","Mapping population change during the Great Famine in Ireland:","http://ncg.nuim.ie/content/projects/famine/"
"Mapping Shakespeare's London","Now live! Graduate project from Kings College London.","http://map.shakespeare.kcl.ac.uk/"
"Mapping Texts","A project experimenting with new methods for finding and analyzing meaningful patterns embedded in massive collections of digital newspapers.","http://mappingtexts.org/"
"Mapping The City In Film","Nascent project mapping Liverpool on celluloid.","http://www.liv.ac.uk/lsa/cityinfilm/index.html"
"Mapping The Gulag","An important project, but so far only using static maps.","http://www.gulagmaps.org/"
"Mapping The Jewish Communities of the Byzantine Empire","Very interesting project, now with added maps. The interface is significant, aiming to take spatial and temporal uncertainties into account.","http://www.byzantinejewry.net/"
"Mapping The Lakes","Examining literary accounts of the Lake District in Britain, with some excellent theoretical articles.","http://www.lancs.ac.uk/mappingthelakes/index.htm"
"Mapping The Long Women's Movement","An experiment with indexing, using, and ultimately understanding oral history in new ways, based upon accounts of feminist activism in the late twentieth century.","http://projects.dhpress.org/lwm/dhp-projects/long-womens-movement/"
"Mapping The Medieval Urban Townscape","Completed in 2005, a study of new Towns of the late 1200s.","http://www.qub.ac.uk/urban_mapping/"
"Mapping The Republic of Letters","Suite of projects -- mostly blurbs rather than the goods -- centred on enlightenment correspondence. (Formerly had a flash map of correspondence, but that seems to have disappeared.)","https://republicofletters.stanford.edu/"
"Mapping the Spread of American Slavery","Technically and historically very interesting mapping of slavery in the US, 1790-1860. Project:","http://lincolnmullen.com/blog/the-spread-of-american-slavery/"
"Media NOLA","Histories of culture and cultural production in New Orleans.","http://medianola.org/"
"MESH: Mapping Edinburgh's Social History","No website as yet, but the funding announcement can be found at:","http://gtr.rcuk.ac.uk/project/8A5E20E4-ACD2-4248-97A0-5D6F10AA74FC"
"Miéville's Geolocative Cities","Very interesting project, mapping China Miéville's sci-fi novel The City and the City; and exploring the possibilities for a palimpsest or crosshatch type of mapping.","http://locativeliterature.wordpress.com/"
"Myths on Maps","Mapping classical Greek mythology.","http://myths.uvic.ca/"
"New York City Graffiti and Street Art Project","Flickr, mobile phones and Google maps mash-up investigating NYC street art.","http://library.lclark.edu/projects/graffiti/index.php?state=about"
"Negro Travellers Green Book","","http://library.sc.edu/digital/collections/greenbookmap.html"
"Nolli Map","Interactive version of Giambattista Nolli's 1748 map of Rome.","http://nolli.uoregon.edu/default.asp"
"Old Maps Online","A search portal for historical maps hosted elsewhere.","http://www.oldmapsonline.org"
"On The Line","Under construction, but fascinating already, a project on how schooling, housing, and civil rights shaped Hartford, Connecticut (USA) and its suburbs.","http://ontheline.trincoll.edu/"
"Orbis","The Stanford Geospatial Network Model of the Roman World","http://orbis.stanford.edu/"
"Palimpsest","Just starting out, Palimpsest will visualize Edinburgh's literary heritage.","http://palimpsest.blogs.edina.ac.uk/"
"Pelagios","PELAGIOS stands for &#8216;Pelagios: Enable Linked Ancient Geodata In Open Systems' -- hooray for recursive acronyms!","http://pelagios-project.blogspot.com/"
"PhilaPlace","Great site from the Historical Society of Pennsylvania on the city of Philadelphia.","http://www.philaplace.org/"
"Phone Booth","Project underway, repackaging the Charles Booth poverty maps into mobile phone formats.","http://jiscphonebooth.wordpress.com/"
"Photogrammar","Organizing, searching, and visualizing the 170,000 photographs from 1935 to 1945 created by the United States Farm Security Administration and Office of War Information (FSA-OWI).","http://photogrammar.yale.edu/map/"
"Placing Literature","Crowdsourcing literary locations.","http://www.placingliterature.com/home"
"Pleiades","Repository of historical geographic information about the Greek and Roman World.","http://pleiades.stoa.org/"
"Pox Americana","To accompany a book of the same name, a mapping of the American Small Pox epidemic of 1775-1782.","http://pox.ehistory.org/"
"Records of Early English Drama","Mapping the places and patrons of early English theatre.","http://link.library.utoronto.ca/reed/"
"Redlining Richmond","Mapping the Home Owners' Loan Corporation's surveys of 1930s Richmond, VA., including their assessment of &#8216;infiltration of a lower grade population' (by which they meant African Americans, Jews, and immigrants).","http://dsl.richmond.edu/holc/pages/home"
"Regnum Francorum Online","Interactive maps of early medieval Europe, 614-840.","http://www.francia.ahlfeldt.se/"
"The Roaring Twenties","A soundmap of New York in the 1920s.","http://vectorsdev.usc.edu/NYCsound/777b.html"
"Routes of Sefarad","Impressive Google-supported project mapping Jewish history in Spain.","http://www.redjuderias.org/google/index.php"
"Salem Witch Trials","An archive of materials, and a very interesting animated map.","http://www2.iath.virginia.edu/salem/home.html"
"Slave Revolt in Jamaica, 1760-1761","A cartographic analysis of &#8216; the greatest slave insurrection in the eighteenth century British Empire.'","http://revolt.axismaps.com/"
"Space of Slovenian Literary Culture","Project in the planning stages, examining Slovenian writing, 1780-1940. Has a very useful overview of literary mapping.","http://sl.wikiversity.org/wiki/Literatura_in_prostor"
"Spatial History Project at Stanford","Many projects and articles.","http://www.stanford.edu/group/spatialhistory/cgi-bin/site/index.php"
"Spatial Humanities at the Scholars' Lab","A community-driven resource for the spatial humanities.","http://spatial.scholarslab.org/"
"Streets of Mourning","Due to launch in August, an interactive map of Lancaster's First World War casualties. Announcement:","http://www.lancaster.ac.uk/news/articles/2014/streets-of-mourning-brings-home-first-world-war-carnage/"
"Texas Slavery Project","Analyzing the spread of American slavery into the borderlands between the United States and Mexico in the decades between 1820 and 1850.","http://www.texasslaveryproject.org/"
"The Area Told As A Story","Very interesting PhD research project into the -use of maps.","http://folk.uio.no/oeide/dg/"
"Tracks in Time","West Yorks Archive Service putting historic tithe maps online. A digitisation project, but notable for the way the maps are displayed, alongside (rather than superimposed) contemporary maps.","http://www.tracksintime.wyjs.org.uk/"
"Travelogue","Mapping the travels of twentieth century American authors, starting with Ernest Hemingway and Zora Neale Hurston. New URL:","http://mappingliteraryhistory.org/"
"Urban Transition Historical GIS Project","Using historical census data to examine the United States' urban transition in the late nineteenth and early twentieth centuries.","http://www.s4.brown.edu/utp/index.htm"
"Valley of the Shadow","Documenting two counties at the time of the American Civil War, with animated battle maps.","http://valley.lib.virginia.edu/"
"Verbrannte Orte","Mapping Nazi bookburnings. In German, but a brief overview is given by","http://verbrannte-orte.de/"
"Vilniaus Literatūra","Mapping the literature of Vilnia, Lithuania. In Lithuanian.","http://www.vilniusliterature.flf.vu.lt/"
"Virtual Morgantown","Seemingly dormant project to build a virtual reconstruction of Morgantown, West Virginia, circa 1900.","http://virtualmorgantown.org"
"Vision of Britain","Remarkable compendium of surveys of Britain.","http://www.visionofbritain.org.uk/"
"Visualizing Early Washington DC","Using GIS to build a virtual reconstruction of pre-1814 Washington DC.","http://visualizingdc.com/"
"Visualizing Emancipation","Visualizing Emancipation organizes documentary evidence about when, where, and how slavery fell apart during the American Civil War.","http://dsl.richmond.edu/emancipation/"
"Visualizing Scriptoria: Mapping Sites of Manuscript Production in Medieval Iceland","Title says it all. Just as well, given there's no blurb or description whatsoever.","http://projects.cdh.ucla.edu/icelandicms/bin/index.html#"
"Visualizing Urban Geographies","An open source suite of 'noGIS' tools. Examples focus upon Edinburgh.","http://geo.nls.uk/urbhist/index.html"
"Visualizing Venice","Visualizing Venice is a series of inquiries into how social and economic change shaped the city of Venice over time.","http://visualizingvenice.org/"
"Voluntary Hospitals Database","An old database created by the University of Portsmouth, given a new lease of life via the London School of Hygiene and Tropical Medicine, with a Google maps interface. See IHR blog post for more information.",""
"Voting America","Mapping US elections, 1840 -- 2008.","http://dsl.richmond.edu/voting/index.html"
"Walking Ulysses","Annotating Joyce's Ulysses upon contemporary and current  maps of Dublin.","http://ulysses.bc.edu/"
"Yellow Star Houses","Excellent site mapping ghettoization and the Holocaust in Budapest. In English and Hungarian.","http://www.yellowstarhouses.org/"
"Othello Map","Prototype mapping of literary publishing, using German editions of Othello. Longer description:"
"http://blog.okfn.org/2013/02/08/version-variation-visualisation/","http://othellomap.nand.io/"
"Atlas of Digital Humanities and Social Science / Atlas de Ciencias Sociales y Humanidades Digitales","","http://grinugr.org/mapa/"
